accountantId,cancelDate,ignoreField,signDate,signedOrganizationsCount
53A2D724,,,2019-08-19T00:00:00,200.0
53C397F8,,,2019-08-01T00:00:00,200.0
548EF7FB,,,2019-09-03T00:00:00,100.0
54939E92,,,2019-08-15T00:00:00,170.0
54A73C2F,,,2019-09-02T00:00:00,30.0
54A777AE,20/03/2019,,2018-12-20T00:00:00,100.0
54C7DF7A,,,2019-08-13T00:00:00,90.0
54C9FB88,,,2019-06-13T00:00:00,90.0
54CCBCA4,,,2019-09-05T00:00:00,100.0
56232B2C,,,2019-04-05T00:00:00,20.0
5637A4EA,,,2019-08-21T00:00:00,100.0
566A8A7F,,,2019-01-15T00:00:00,100.0
56749CEC,03/06/2019,,2018-12-14T00:00:00,120.0
56BCBDCC,,,2018-12-07T00:00:00,40.0
56C4CFA5,,,2019-08-21T00:00:00,45.0
5728958B,,,2019-06-21T00:00:00,200.0
57AC72C5,,,2019-08-20T00:00:00,150.0
57BF35F4,,,2019-06-12T00:00:00,60.0
5879FAFA,,,2019-08-07T00:00:00,80.0
58AD6DC3,,,2019-01-18T00:00:00,35.0
58C3285A,21/08/2019,,2019-04-18T00:00:00,60.0
58C6AA8F,21/06/2019,,2019-02-21T00:00:00,50.0
58DFA788,,,2019-08-12T00:00:00,200.0
593768F5,13/08/2019,,2019-02-05T00:00:00,80.0
599CC4FF,,,2019-07-19T00:00:00,60.0
5A4653A9,,,2019-08-19T00:00:00,250.0
5A4AECE8,15/02/2019,,2019-01-21T00:00:00,100.0
5A4FBE6A,,,2018-12-17T00:00:00,50.0
5A92BC3A,,,2019-08-21T00:00:00,30.0
5A9C78A5,,,2019-08-21T00:00:00,120.0
5AAD64FD,,,2019-03-25T00:00:00,90.0
5B4A7A28,,,2019-01-17T00:00:00,50.0
5B73E927,,,2019-04-11T00:00:00,60.0
5B9D4AD7,,,2019-07-30T00:00:00,400.0
5BAC788C,21/06/2019,,2019-01-21T00:00:00,100.0
5C26332C,,,2019-08-21T00:00:00,150.0
5C499955,,,2019-07-30T00:00:00,100.0
5C7B45B8,,,2018-12-18T00:00:00,100.0
5CC8C629,,,2019-08-21T00:00:00,150.0
5CCA7A34,,,2019-01-29T00:00:00,80.0
5CCAA447,,,2019-08-27T00:00:00,30.0
5CCC5BFD,,,2019-05-03T00:00:00,150.0
5CCE6A3A,,,2019-02-05T00:00:00,30.0
5CEAFC77,,,2019-07-18T00:00:00,40.0
5CEDF44C,,,2019-08-21T00:00:00,50.0
5D26FEF3,,,2019-04-18T00:00:00,30.0
5D32A25D,,,2019-06-07T00:00:00,140.0
5DC6C4AC,22/04/2019,,2019-01-18T00:00:00,70.0
5E433CAD,,,2019-07-18T00:00:00,120.0
5EAAB6AE,,,2019-07-31T00:00:00,180.0
5F57EB2B,,,2019-08-20T00:00:00,60.0
5F83D65C,,,2018-12-17T00:00:00,90.0
5FC28AC4,,,2019-07-31T00:00:00,30.0
6237378B,,,2019-04-10T00:00:00,90.0
629C8A52,,,2019-08-21T00:00:00,60.0
62A2D485,,,2019-08-19T00:00:00,40.0
62AC647D,,,2019-09-03T00:00:00,300.0
62F2B5C2,21/08/2019,,2019-07-04T00:00:00,25.0
63269B7B,04/06/2019,,2019-01-25T00:00:00,100.0
633C9A9A,,,2019-02-26T00:00:00,600.0
63EB7826,,,2019-03-21T00:00:00,100.0
648A4CB8,,,2019-01-28T00:00:00,160.0
6498C3A4,,,2019-03-15T00:00:00,150.0
64A54AEE,,,2019-08-16T00:00:00,20.0
64E9AAC2,,,2019-01-21T00:00:00,150.0
65CCAB8C,,,2019-02-21T00:00:00,100.0
65FF4FAC,27/05/2019,,2019-01-31T00:00:00,80.0
66944995,,,2019-07-04T00:00:00,60.0
669B3855,,,2019-07-15T00:00:00,40.0
67233E6C,,,2019-08-21T00:00:00,60.0
673ADA8C,05/07/2019,,2019-03-18T00:00:00,50.0
6765A2F4,,,2019-03-29T00:00:00,250.0
67C7EF9F,,,2019-06-21T00:00:00,80.0
68728CE7,,,2019-07-19T00:00:00,100.0
6872C7AA,21/01/2019,,2018-12-10T00:00:00,20.0
68D8CF97,,,2019-08-12T00:00:00,60.0
69C5D83A,21/03/2019,,2018-12-20T00:00:00,50.0
69D6EEC4,,,2019-06-05T00:00:00,45.0
6A7B9749,,,2019-08-28T00:00:00,200.0
6A87B6E3,,,2019-07-29T00:00:00,170.0
6AC7569B,,,2019-08-30T00:00:00,97.0
6ACABC8F,14/08/2019,,2019-05-21T00:00:00,210.0
6AD8F265,,,2019-08-05T00:00:00,20.0
6ADA46E2,,,2019-08-21T00:00:00,200.0
6AECAEA8,,,2019-06-06T00:00:00,100.0
6AF56AFB,19/07/2019,,2019-05-14T00:00:00,80.0
6B2AC7AE,22/03/2019,,2018-12-13T00:00:00,70.0
6B38A3A4,,,2019-04-26T00:00:00,80.0
6B3F9493,,,2019-02-12T00:00:00,200.0
6B46C569,,,2019-08-21T00:00:00,80.0
6BA8CAFA,,,2018-12-06T00:00:00,130.0
6C4B9F4F,,,2019-07-31T00:00:00,150.0
6C62AEDC,,,2019-07-30T00:00:00,22.0
6C7572AA,28/08/2019,,2019-07-19T00:00:00,120.0
6CAC6CA4,,,2019-05-03T00:00:00,250.0
6CB45C79,18/04/2019,,2018-12-07T00:00:00,50.0
6CCD34B4,,,2019-07-16T00:00:00,100.0
6CDDCBD3,,,2019-03-15T00:00:00,50.0
6D4A7DF4,,,2019-03-15T00:00:00,400.0
6D528AAA,22/05/2019,,2019-01-04T00:00:00,100.0
6D64ECCD,10/06/2019,,2019-01-14T00:00:00,100.0
6DC58C5A,,,2019-01-29T00:00:00,30.0
6EBAC2FB,25/04/2019,,2018-12-14T00:00:00,70.0
6EBF3D62,,,2019-04-30T00:00:00,40.0
6EE4A6E8,,,2018-12-14T00:00:00,100.0
6F5AB7F3,21/06/2019,,2018-12-05T00:00:00,7.0
6FD635CC,,,2019-04-15T00:00:00,100.0
6FEBE7ED,,,2019-07-10T00:00:00,182.0
7225EB24,,,2019-08-21T00:00:00,80.0
723F223A,,,2019-02-05T00:00:00,220.0
729BA975,,,2019-02-19T00:00:00,30.0
72A96AD5,,,2019-08-21T00:00:00,70.0
72C24BFE,29/05/2019,,2019-04-04T00:00:00,60.0
72F795E4,01/08/2019,,2018-12-07T00:00:00,150.0
743FEF78,,,2019-07-31T00:00:00,80.0
74A2246C,,,2019-08-21T00:00:00,40.0
74A667C8,,,2019-08-21T00:00:00,80.0
74B3CAD4,21/06/2019,,2019-04-18T00:00:00,60.0
74F2CBB8,,,2019-04-16T00:00:00,60.0
74F56C7B,,,2019-08-21T00:00:00,100.0
75227998,,,2019-07-02T00:00:00,45.0
752CABCA,,,2019-07-16T00:00:00,80.0
75C364F9,,,2019-07-19T00:00:00,12.0
75E44338,19/06/2019,,2019-03-21T00:00:00,100.0
762FDAAD,21/06/2019,,2019-02-07T00:00:00,100.0
7635CBCA,,,2019-05-29T00:00:00,100.0
7639C2A2,,,2019-07-25T00:00:00,224.0
763DC5B8,,,2019-07-18T00:00:00,70.0
76667ABD,,,2019-08-21T00:00:00,30.0
76EE2A8B,,,2018-12-19T00:00:00,110.0
7744A77C,,,2019-05-21T00:00:00,40.0
774A93A6,,,2019-09-02T00:00:00,35.0
7759A56B,,,2019-08-12T00:00:00,70.0
776B7D24,,,2019-08-21T00:00:00,300.0
776C5963,29/01/2019,,2019-01-21T00:00:00,100.0
77927FED,,,2019-08-21T00:00:00,100.0
77BBD93C,,,2019-03-21T00:00:00,270.0
77CA737A,,,2019-01-21T00:00:00,100.0
788A7378,13/03/2019,,2019-02-04T00:00:00,50.0
78B59375,02/09/2019,,2019-05-13T00:00:00,100.0
78DCA6D7,,,2019-04-05T00:00:00,90.0
7942AA9A,,,2019-08-15T00:00:00,120.0
7955776B,,,2019-07-12T00:00:00,40.0
79957F77,,,2019-07-15T00:00:00,40.0
79A23636,,,2019-07-11T00:00:00,600.0
79A7DFDE,,,2019-04-25T00:00:00,120.0
79AAC8AE,,,2019-01-18T00:00:00,40.0
79EACE2A,,,2019-03-21T00:00:00,100.0
7A4679DE,,,2019-07-21T00:00:00,80.0
7A4A4A37,,,2019-08-21T00:00:00,120.0
7A8848AC,,,2019-09-02T00:00:00,100.0
7AA6DD56,,,2019-07-16T00:00:00,200.0
7AA7BAAB,,,2019-04-12T00:00:00,70.0
7AAEF738,,,2019-08-01T00:00:00,60.0
7AECBED2,,,2019-08-28T00:00:00,60.0
7B29C93C,,,2019-01-24T00:00:00,120.0
7BA6CC9C,,,2018-12-17T00:00:00,60.0
7C43E6BA,,,2019-08-08T00:00:00,80.0
7C44DB45,,,2019-08-21T00:00:00,30.0
7C4DDB2C,27/03/2019,,2019-01-07T00:00:00,110.0
7C687BF3,,,2019-08-21T00:00:00,100.0
7C74BA63,,,2019-07-19T00:00:00,200.0
7C77A693,,,2018-12-17T00:00:00,60.0
7C7AE5A4,,,2019-07-19T00:00:00,90.0
7C9C5F63,,,2019-08-12T00:00:00,50.0
7CC89ACC,,,2019-07-31T00:00:00,350.0
