,accountantId,cohort,total,m,count_org
329,6D528AAA,1,100.0,2,87
330,6D528AAA,1,100.0,7,2
331,6D528AAA,1,100.0,8,1
332,6EBF3D62,4,40.0,5,28
333,6EBF3D62,4,40.0,9,2
334,6FD635CC,4,100.0,5,94
335,6FD635CC,4,100.0,6,1
336,7225EB24,8,80.0,8,52
337,7225EB24,8,80.0,9,25
338,72A96AD5,8,70.0,8,74
339,72A96AD5,8,70.0,9,3
340,743FEF78,7,80.0,7,54
341,743FEF78,7,80.0,8,13
342,743FEF78,7,80.0,9,7
343,74A2246C,8,40.0,8,60
344,74A2246C,8,40.0,9,2
345,74F2CBB8,4,60.0,4,11
346,74F2CBB8,4,60.0,5,1
347,74F2CBB8,4,60.0,8,2
348,74F56C7B,8,100.0,9,119
349,752CABCA,7,80.0,7,80
350,752CABCA,7,80.0,8,15
351,75C364F9,7,12.0,7,9
352,75C364F9,7,12.0,8,1
353,75C364F9,7,12.0,9,1
354,75E44338,3,100.0,4,75
355,7635CBCA,5,100.0,6,85
356,7635CBCA,5,100.0,7,1
357,7635CBCA,5,100.0,8,1
358,7639C2A2,7,224.0,7,250
359,7639C2A2,7,224.0,9,3
360,763DC5B8,7,70.0,7,67
361,763DC5B8,7,70.0,8,1
362,76667ABD,8,30.0,8,49
363,7744A77C,5,40.0,5,24
364,7744A77C,5,40.0,6,7
365,7744A77C,5,40.0,7,1
366,7744A77C,5,40.0,8,1
367,774A93A6,9,35.0,9,59
368,77927FED,8,100.0,9,55
369,77BBD93C,3,270.0,7,244
370,77BBD93C,3,270.0,8,29
371,77BBD93C,3,270.0,9,1
372,77CA737A,1,100.0,7,8
373,77CA737A,1,100.0,9,71
374,78B59375,5,100.0,5,96
375,78B59375,5,100.0,6,1
376,78B59375,5,100.0,7,3
377,78B59375,5,100.0,8,1
378,78DCA6D7,4,90.0,6,66
379,7942AA9A,8,120.0,8,67
380,7955776B,7,40.0,7,70
381,7955776B,7,40.0,8,8
382,7955776B,7,40.0,9,1
383,79957F77,7,40.0,7,22
384,79A23636,7,600.0,7,378
385,79A23636,7,600.0,8,4
386,79A7DFDE,4,120.0,5,105
387,79A7DFDE,4,120.0,7,7
388,7A4679DE,7,80.0,7,2
389,7A4679DE,7,80.0,8,77
390,7A4A4A37,8,120.0,8,97
391,7A4A4A37,8,120.0,9,24
392,7A8848AC,9,100.0,8,1
393,7A8848AC,9,100.0,9,104
394,7AA6DD56,7,200.0,7,249
395,7AA6DD56,7,200.0,8,4
396,7AA6DD56,7,200.0,9,1
397,7AA7BAAB,4,70.0,4,128
398,7AAEF738,8,60.0,8,48
399,7AECBED2,8,60.0,8,109
400,7C43E6BA,8,80.0,8,118
401,7C44DB45,8,30.0,8,34
402,7C44DB45,8,30.0,9,9
403,7C687BF3,8,100.0,8,1
404,7C687BF3,8,100.0,9,97
405,7C74BA63,7,200.0,7,190
406,7C74BA63,7,200.0,9,36
407,7C7AE5A4,7,90.0,7,91
408,7C7AE5A4,7,90.0,8,1
409,7C9C5F63,8,50.0,8,28
410,7C9C5F63,8,50.0,9,8
411,7CC89ACC,7,350.0,8,126
412,7D33D57A,6,50.0,6,23
413,7DA56D84,6,66.0,7,64
414,7DA56D84,6,66.0,8,1
415,7DC4D42D,8,30.0,8,92
416,7DC4D42D,8,30.0,9,3
417,7E74EBAB,8,100.0,8,62
418,7EA848E5,8,100.0,8,121
419,7EAB9CCD,7,10.0,7,38
420,7EAB9CCD,7,10.0,8,1
421,7EF55C34,7,40.0,7,24
422,7EF55C34,7,40.0,8,12
423,7EF55C34,7,40.0,9,2
424,7FA2D926,7,150.0,7,26
425,7FA2D926,7,150.0,8,84
426,7FA3FC69,5,120.0,5,114
427,7FA3FC69,5,120.0,7,5
428,7FA3FC69,5,120.0,8,4
429,7FA3FC69,5,120.0,9,3
430,7FAC5C9A,8,30.0,8,1
431,7FAC5C9A,8,30.0,9,38
432,8243C543,7,70.0,7,38
433,8243C543,7,70.0,8,69
434,8243C543,7,70.0,9,1
435,8246B5CE,8,110.0,8,1
436,8246B5CE,8,110.0,9,70
437,83EEA74F,2,60.0,2,36
438,83EEA74F,2,60.0,9,1
439,83FBF2DA,9,15.0,9,13
440,84A3736A,6,40.0,6,11
441,84A3736A,6,40.0,7,18
442,854FAD45,4,500.0,5,270
443,854FAD45,4,500.0,7,1
444,854FAD45,4,500.0,8,1
445,858DCC3F,8,30.0,8,36
446,858DCC3F,8,30.0,9,2
